be,sm
bo,sm
bod,sm
bro,sm
da,sm
dyma,sm
er,sm
at,sm
eto,sm
gyda,sm
hir,hm
mab,nm
mae,nm
math,nm
me,sm
na,nm
nes,nm
nest,nm
ni,nm
nid,nm
nos,nm
oes,sm
yn,sm
naill,nm
